,Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
6,Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40849.76128,43333.97304,38684.56653,39538.35521,41302.38214,35770.91865,37474.74584,38964.66201,41793.31884,40898.41791,37416.69772
8,United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,33893.27725,39194.67527,40976.49642,42412.63649,43751.81731,38663.38826,38141.87689,40644.79119,43839.32449,42701.44305,36284.55524
13,Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,51680.31652
14,Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51486.5755,50114.40111,48588.65938
17,Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,45189.3669
22,Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,20406.50233
35,Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387
37,Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482
53,Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,31023.63867,32396.38672,28912.15625,27729.19336,27163.33203,23408.33594,24605.91992,26608.875,29334.11133,29206.07617,27681.56641
54,Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22933.49959
55,Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47973.60762,46794.89929,46252.6893
58,Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643
70,Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30532.48051,31677.90031,28322.80925,29067.80946,29500.78943,25742.36883,26523.34822,28170.16786,30364.57994,29554.49052,27056.42175
71,Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23063.56382,23397.87826,23054.35849
75,Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49988.91085,48628.64176,49160.83715
